series,month,value
Bangladesh,2022-03,7480
Bangladesh,2022-04,7595
Bangladesh,2022-05,6352
Bangladesh,2022-06,7352
Bangladesh,2022-07,13119
Bangladesh,2022-08,10828
Bangladesh,2022-09,10694
Bangladesh,2022-10,10975
Bangladesh,2022-11,10481
Bangladesh,2022-12,9857
Bangladesh,2023-01,8789
Bangladesh,2023-02,8006
Bangladesh,2023-03,9711
Bangladesh,2023-04,9824
Bangladesh,2023-05,9529
Bangladesh,2023-06,9685
Bangladesh,2023-07,11100
Bangladesh,2023-08,11124
Bangladesh,2023-09,10240
Bangladesh,2023-10,10721
Bangladesh,2023-11,10118
Bangladesh,2023-12,11743
Bangladesh,2024-01,10332
Bangladesh,2024-02,8792
Bangladesh,2024-03,8616
Bangladesh,2024-04,11707
Bangladesh,2024-05,10959
Bangladesh,2024-06,12594
Bangladesh,2024-07,12236
Bangladesh,2024-08,11027
Bangladesh,2024-09,11473
Bangladesh,2024-10,12938
Bangladesh,2024-11,11092
Bangladesh,2024-12,13441
Bangladesh,2025-01,12532
Bangladesh,2025-02,10851
Bangladesh,2025-03,11219
Bangladesh,2025-04,13591
Bangladesh,2025-05,12456
Bangladesh,2025-06,14023
Bangladesh,2025-07,13576
Bangladesh,2025-08,13833
Bangladesh,2025-09,14045
Bangladesh,2025-10,14389
Bangladesh,2025-11,12430
Bangladesh,2025-12,14014
Bangladesh,2026-01,12247
Belgium & Luxembourg,2008-01,1574
Belgium & Luxembourg,2008-02,1672
Belgium & Luxembourg,2008-03,2152
Belgium & Luxembourg,2008-04,1598
Belgium & Luxembourg,2008-05,1449
Belgium & Luxembourg,2008-06,1409
Belgium & Luxembourg,2008-07,2243
Belgium & Luxembourg,2008-08,2108
Belgium & Luxembourg,2008-09,1440
Belgium & Luxembourg,2008-10,1563
Belgium & Luxembourg,2008-11,2033
Belgium & Luxembourg,2008-12,1859
Belgium & Luxembourg,2009-01,1472
Belgium & Luxembourg,2009-02,1447
Belgium & Luxembourg,2009-03,1868
Belgium & Luxembourg,2009-04,1946
Belgium & Luxembourg,2009-05,1316
Belgium & Luxembourg,2009-06,1447
Belgium & Luxembourg,2009-07,2387
Belgium & Luxembourg,2009-08,2254
Belgium & Luxembourg,2009-09,1707
Belgium & Luxembourg,2009-10,1806
Belgium & Luxembourg,2009-11,1967
Belgium & Luxembourg,2009-12,1748
